"","HAUL_ID","EST_NUM_PERM3","log10_EST_NUM_PERM3","BOTTOM_DEPTH","CRUISE","DAY","GEAR_NAME","GMT_DATE_TIME_TXT","HAUL_PERFORMANCE","LAT","LON","MAX_GEAR_DEPTH","MESH","MONTH","STATION_NAME","VOLUME_FILTERED","YEAR","TAXA"
"28","1DY11 25 2 20BON 1",139.1846,2.14670030676637,73,"1DY11",22,"20BON","2011-05-22 22:45","GOOD",58.14417,-169.91716,66,153,5,"25",57.01774,2011,"Pseudocalanus spp."
"29","1DY11 27 2 20BON 1",56.2441,1.7577307317196,70,"1DY11",23,"20BON","2011-05-23 01:58","GOOD",57.9095,-169.506,64,153,5,"27",49.78305,2011,"Pseudocalanus spp."
"30","1DY11 28 2 20BON 1",40.1865,1.61475488748275,70,"1DY11",23,"20BON","2011-05-23 04:30","GOOD",57.9185,-169.01199,65,153,5,"28",46.08506,2011,"Pseudocalanus spp."
"31","1DY11 29 2 20BON 1",71.4222,1.85987171342974,67,"1DY11",23,"20BON","2011-05-23 06:34","GOOD",57.73817,-169.12616,60,153,5,"29",37.78462,2011,"Pseudocalanus spp."
"32","1DY11 30 2 20BON 1",62.9583,1.80589691175914,73,"1DY11",23,"20BON","2011-05-23 08:49","GOOD",57.602,-168.6915,67,153,5,"30",51.58972,2011,"Pseudocalanus spp."
"33","1DY11 31 3 20BON 1",130.6584,2.1194485729542,73,"1DY11",23,"20BON","2011-05-23 10:44","GOOD",57.77217,-168.6575,65,153,5,"31",56.81989,2011,"Pseudocalanus spp."
"34","1DY11 32 5 20BON 1",83.6869,1.92781623562329,73,"1DY11",23,"20BON","2011-05-23 13:26","GOOD",57.83317,-168.88567,66,153,5,"32",45.88533,2011,"Pseudocalanus spp."
"35","1DY11 36 2 20BON 1",211.9273,2.32823134710889,73,"1DY11",24,"20BON","2011-05-24 20:09","GOOD",57.5305,-168.3045,66,153,5,"36",28.0851,2011,"Pseudocalanus spp."
"36","1DY11 38 2 20BON 1",68.0056,1.8388843363954,73,"1DY11",24,"20BON","2011-05-24 23:29","GOOD",57.50834,-167.661,66,153,5,"38",53.6427,2011,"Pseudocalanus spp."
"37","1DY11 40 2 20BON 1",76.4433,1.88898385077315,71,"1DY11",25,"20BON","2011-05-25 02:36","GOOD",57.521,-167.0325,65,153,5,"40",67.81494,2011,"Pseudocalanus spp."
"38","1DY11 42 2 20BON 1",84.0138,1.92948942897772,69,"1DY11",25,"20BON","2011-05-25 06:02","GOOD",57.44033,-166.5125,63,153,5,"42",70.84558,2011,"Pseudocalanus spp."
"39","1DY11 44 2 20BON 1",119.1187,2.07961062334478,70,"1DY11",25,"20BON","2011-05-25 11:00","GOOD",57.32667,-165.99333,64,153,5,"44",69.13,2011,"Pseudocalanus spp."
"40","1DY11 46 2 20BON 1",106.679,2.03213101366576,74,"1DY11",25,"20BON","2011-05-25 17:10","GOOD",57.1065,-165.61217,64,153,5,"46",83.39037,2011,"Pseudocalanus spp."
"41","1DY11 48 2 20BON 1",206.1791,2.31634594213264,75,"1DY11",25,"20BON","2011-05-25 21:17","GOOD",56.86283,-165.11617,68,153,5,"48",45.94063,2011,"Pseudocalanus spp."
"42","1DY11 51 2 20BON 1",489.8915,2.69098551216698,74,"1DY11",26,"20BON","2011-05-26 04:15","GOOD",56.76817,-164.32617,70,153,5,"51",48.59851,2011,"Pseudocalanus spp."
"43","1DY11 52 2 20BON 2",269.763,2.43258931734806,69,"1DY11",26,"20BON","2011-05-26 06:45","GOOD",57.01933,-164.20551,64,153,5,"52",66.6659,2011,"Pseudocalanus spp."
"44","1DY11 53 5 20BON 1",263.1814,2.42190223734466,72,"1DY11",26,"20BON","2011-05-26 10:04","GOOD",56.91267,-164.036,66,153,5,"53",31.61318,2011,"Pseudocalanus spp."
"45","1DY11 54 2 20BON 1",387.1127,2.58895785415377,71,"1DY11",26,"20BON","2011-05-26 11:48","GOOD",56.94767,-163.82266,65,153,5,"54",31.0814,2011,"Pseudocalanus spp."
"46","1DY11 55 2 20BON 1",673.999,2.82930312943132,77,"1DY11",26,"20BON","2011-05-26 14:22","GOOD",56.67216,-163.85651,71,153,5,"55",7.16915,2011,"Pseudocalanus spp."
"47","1DY12 64 2 20BON 1",381.8973,2.5830823039313,77,"1DY12",8,"20BON","2012-05-08 09:06","GOOD",56.66217,-163.8588,67,153,5,"64",13.40674,2012,"Pseudocalanus spp."
"48","1DY12 66 3 20BON 1",171.3516,2.23641531946979,73,"1DY12",8,"20BON","2012-05-08 13:22","GOOD",56.86067,-164.0747,60,153,5,"66",13.44604,2012,"Pseudocalanus spp."
"49","1DY12 67 2 20BON 1",0.5721,0.196480167700148,74,"1DY12",8,"20BON","2012-05-08 23:36","GOOD",56.76717,-164.3328,65,153,5,"67",15.73287,2012,"Pseudocalanus spp."
"50","1DY12 68 2 20BON 1",82.701,1.92273064666575,69,"1DY12",9,"20BON","2012-05-09 01:59","GOOD",57.022,-164.2222,66,153,5,"68",11.1244,2012,"Pseudocalanus spp."
"51","1HE07 10 1 20BON 1",57.7525,1.76902635116683,73,"1HE07",12,"20BON","2007-04-12 20:47","GOOD",56.83383,-164.31,72,153,4,"10",10.90861,2007,"Pseudocalanus spp."
"52","1HE07 115 2 20BON 1",425.7762,2.6302001921562,70,"1HE07",26,"20BON","2007-04-26 04:49","GOOD",58.13,-168.97,70,153,4,"115",13.37792,2007,"Pseudocalanus spp."
"53","1HE07 12 2 20BON 1",48.1055,1.69113013745654,72,"1HE07",13,"20BON","2007-04-13 01:25","GOOD",56.9045,-164.84567,68,153,4,"12",11.80737,2007,"Pseudocalanus spp."
"54","1HE07 135 3 20BON 1",138.9976,2.14612059056616,78,"1HE07",29,"20BON","2007-04-29 17:50","GOOD",58.45717,-170.72034,70,153,4,"135",13.81317,2007,"Pseudocalanus spp."
"55","1HE07 14 2 20BON 1",74.0929,1.87559887659687,72,"1HE07",13,"20BON","2007-04-13 04:41","GOOD",56.99533,-165.38733,69,153,4,"14",8.39486,2007,"Pseudocalanus spp."
"56","1HE07 16 2 20BON 1",47.7595,1.68805924353465,70,"1HE07",13,"20BON","2007-04-13 08:07","GOOD",57.26217,-165.763,64,153,4,"16",7.68435,2007,"Pseudocalanus spp."
"57","1HE07 18 2 20BON 1",95.0843,1.98265243053645,70,"1HE07",13,"20BON","2007-04-13 11:21","GOOD",57.3325,-166.34,65,153,4,"18",10.83249,2007,"Pseudocalanus spp."
"58","1HE07 198 2 V60BON 1",437.0608,2.64153439194699,72,"1HE07",9,"V60BON","2007-05-09 01:29","GOOD",58.94567,-170.34616,70,153,5,"198",18.30409,2007,"Pseudocalanus spp."
"59","1HE07 198 2 V60BON 2",0,0,72,"1HE07",9,"V60BON","2007-05-09 01:29","GOOD",58.94567,-170.34616,70,333,5,"198",19.60137,2007,"Pseudocalanus spp."
"60","1HE07 20 2 20BON 1",107.0308,2.03354759218184,70,"1HE07",13,"20BON","2007-04-13 14:43","GOOD",57.421,-166.80983,65,153,4,"20",9.24968,2007,"Pseudocalanus spp."
"61","1HE07 201 2 20BON 1",71.867,1.86253088959799,99,"1HE07",9,"20BON","2007-05-09 14:33","GOOD",57.40717,-171.31934,89,153,5,"201",11.09457,2007,"Pseudocalanus spp."
"62","1HE07 204 2 20BON 1",85.6732,1.93788483113969,72,"1HE07",10,"20BON","2007-05-10 00:02","GOOD",57.82833,-168.85217,70,153,5,"204",12.99537,2007,"Pseudocalanus spp."
"63","1HE07 207 2 20BON 1",136.0334,2.13682643334474,70,"1HE07",10,"20BON","2007-05-10 10:24","GOOD",57.3285,-166.31567,66,153,5,"207",10.52683,2007,"Pseudocalanus spp."
"64","1HE07 211 2 20BON 1",186.9091,2.27394781247992,76,"1HE07",10,"20BON","2007-05-10 22:20","GOOD",56.70933,-164.51083,71,153,5,"211",11.81324,2007,"Pseudocalanus spp."
"65","1HE07 22 2 20BON 1",258.1379,2.41353093501265,71,"1HE07",13,"20BON","2007-04-13 18:45","GOOD",57.49683,-167.35451,67,153,4,"22",11.30146,2007,"Pseudocalanus spp."
"66","1HE07 26 2 20BON 1",362.4376,2.56042985590486,71,"1HE07",14,"20BON","2007-04-14 02:19","GOOD",57.526,-168.618,68,153,4,"26",11.4072,2007,"Pseudocalanus spp."
"67","1HE07 28 2 20BON 1",221.6972,2.34771475662904,71,"1HE07",14,"20BON","2007-04-14 05:36","GOOD",57.797,-168.86684,68,153,4,"28",8.23775,2007,"Pseudocalanus spp."
"68","1HE07 29 4 20BON 1",246.6629,2.39386095397367,71,"1HE07",14,"20BON","2007-04-14 08:33","GOOD",57.85567,-168.931,68,153,4,"29",14.08887,2007,"Pseudocalanus spp."
"69","1HE07 31 2 20BON 1",347.7318,2.54249155143342,73,"1HE07",14,"20BON","2007-04-14 17:28","GOOD",58.04617,-169.67284,69,153,4,"31",12.1703,2007,"Pseudocalanus spp."
"70","1HE07 34 2 20BON 1",405.5128,2.60907422491619,72,"1HE07",14,"20BON","2007-04-14 21:49","GOOD",58.29517,-170.12784,69,153,4,"34",11.36339,2007,"Pseudocalanus spp."
"71","1HE07 38 2 20BON 1",982.292,2.99268250578474,72,"1HE07",15,"20BON","2007-04-15 05:34","GOOD",58.94983,-170.32733,69,153,4,"38",11.23902,2007,"Pseudocalanus spp."
"72","1MF99 24 1 20BON 1",218.3541,2.34114575631897,95,"1MF99",15,"20BON","1999-04-15 22:41","GOOD",56.16167,-165.16721,89,153,4,"24",13.92234,1999,"Pseudocalanus spp."
"73","1MF99 42 1 20BON 1",307.8138,2.4896966994679,82,"1MF99",17,"20BON","1999-04-17 19:41","GOOD",56.52433,-164.01601,75,153,4,"42",15.59384,1999,"Pseudocalanus spp."
"74","1MF99 43 1 20BON 1",404.7301,2.60823722801242,76,"1MF99",17,"20BON","1999-04-17 20:58","GOOD",56.7275,-163.87399,70,153,4,"43",11.3063,1999,"Pseudocalanus spp."
"75","1MF99 44 1 20BON 1",227.275,2.35845835145275,73,"1MF99",17,"20BON","1999-04-17 23:02","GOOD",56.87433,-164.054,68,153,4,"44",10.84149,1999,"Pseudocalanus spp."
"76","1MF99 45 1 20BON 1",197.6556,2.29810081210379,70,"1MF99",18,"20BON","1999-04-18 00:34","GOOD",57.0175,-164.21401,65,153,4,"45",14.48985,1999,"Pseudocalanus spp."
"77","1OM06 10 1 20BON 1",872.7327,2.94137858976213,71,"1OM06",23,"20BON","2006-06-23 11:40","GOOD",56.99833,-167.006,61,153,6,"10",9.67994,2006,"Pseudocalanus spp."
"78","1OM06 11 1 20BON 1",2440.0749,3.38758110516797,79,"1OM06",23,"20BON","2006-06-23 15:45","GOOD",57.0015,-167.99634,70,153,6,"11",5.6654,2006,"Pseudocalanus spp."
"79","1OM06 12 2 20BON 1",2561.1482,3.40860424663457,70,"1OM06",23,"20BON","2006-06-23 21:45","GOOD",56.99917,-169.002,65,153,6,"12",11.79471,2006,"Pseudocalanus spp."
"80","1OM06 15 1 MBT 1",0,0,100,"1OM06",24,"MBT","2006-06-24 07:50","GOOD",56.4995,-169.02367,90,3000,6,"15",7377.13672,2006,"Pseudocalanus spp."
"81","1OM06 15 2 20BON 1",2261.249,3.3545404049106,102,"1OM06",24,"20BON","2006-06-24 09:58","GOOD",56.49567,-168.993,90,153,6,"15",21.73666,2006,"Pseudocalanus spp."
"82","1OM06 4 1 20BON 1",1040.8708,3.01781386644335,85,"1OM06",22,"20BON","2006-06-22 11:25","GOOD",56.5165,-165.99617,75,153,6,"4",4.67301,2006,"Pseudocalanus spp."
"83","1OM06 5 2 20BON 1",974.4702,2.9892140065104,71,"1OM06",22,"20BON","2006-06-22 15:00","GOOD",56.99917,-165.9855,60,153,6,"5",8.40662,2006,"Pseudocalanus spp."
"84","1OM06 6 1 20BON 1",845.4426,2.92759751253535,63,"1OM06",22,"20BON","2006-06-22 18:10","GOOD",57.50067,-165.99916,55,153,6,"6",12.112,2006,"Pseudocalanus spp."
"85","1OM06 8 1 20BON 1",650.5894,2.81397401062887,70,"1OM06",23,"20BON","2006-06-23 03:47","GOOD",57.4985,-166.98767,60,153,6,"8",9.98479,2006,"Pseudocalanus spp."
"86","1OM06 9 2 20BON 1",1338.4662,3.12693175912475,68,"1OM06",23,"20BON","2006-06-23 07:30","GOOD",57.494,-167.99167,60,153,6,"9",10.32824,2006,"Pseudocalanus spp."
"87","1TT06 100 2 20BON 1",143.4931,2.15984710866023,67,"1TT06",9,"20BON","2006-05-09 03:56","GOOD",58.0015,-167.35133,57,153,5,"100",10.11895,2006,"Pseudocalanus spp."
"88","1TT06 101 2 20BON 1",149.1237,2.17644925964313,69,"1TT06",9,"20BON","2006-05-09 05:30","GOOD",57.86983,-167.54083,61,153,5,"101",10.30017,2006,"Pseudocalanus spp."
"89","1TT06 102 2 20BON 1",153.6116,2.18924207449175,69,"1TT06",9,"20BON","2006-05-09 07:01","GOOD",57.73717,-167.67133,61,153,5,"102",10.72836,2006,"Pseudocalanus spp."
"90","1TT06 103 2 20BON 1",135.7317,2.13586921346366,71,"1TT06",9,"20BON","2006-05-09 08:40","GOOD",57.6065,-167.83983,62,153,5,"103",10.34394,2006,"Pseudocalanus spp."
"91","1TT06 104 2 20BON 1",378.9337,2.57970781704756,73,"1TT06",9,"20BON","2006-05-09 10:28","GOOD",57.451,-168.00284,64,153,5,"104",11.52708,2006,"Pseudocalanus spp."
"92","1TT06 105 2 20BON 1",870.0029,2.94001960099148,76,"1TT06",9,"20BON","2006-05-09 12:11","GOOD",57.31816,-168.16901,67,153,5,"105",9.63675,2006,"Pseudocalanus spp."
"93","1TT06 106 2 20BON 1",1247.1711,3.0962741227603,80,"1TT06",9,"20BON","2006-05-09 14:45","GOOD",57.101,-168.34967,71,153,5,"106",12.21324,2006,"Pseudocalanus spp."
"94","1TT06 107 2 20BON 1",988.9991,2.9956347997842,100,"1TT06",9,"20BON","2006-05-09 17:13","GOOD",56.8295,-168.52966,91,153,5,"107",16.82509,2006,"Pseudocalanus spp."
"95","1TT06 108 2 20BON 1",354.4216,2.55074381760478,112,"1TT06",9,"20BON","2006-05-09 19:13","GOOD",56.62,-168.71066,104,153,5,"108",21.39825,2006,"Pseudocalanus spp."
"96","1TT06 13 2 20BON 1",236.4519,2.37557564899159,70,"1TT06",18,"20BON","2006-04-18 23:00","GOOD",57.65317,-169.02234,59,153,4,"13",10.21773,2006,"Pseudocalanus spp."
"97","1TT06 17 2 20BON 1",229.3051,2.3623035553213,70,"1TT06",19,"20BON","2006-04-19 16:49","GOOD",58.26,-168.7665,59,153,4,"17",8.79178,2006,"Pseudocalanus spp."
"98","1TT06 2 2 20BON 1",258.3052,2.41381122601988,72,"1TT06",15,"20BON","2006-04-15 22:49","GOOD",56.89933,-164.04401,62,153,4,"2",13.72021,2006,"Pseudocalanus spp."
"99","1TT06 20 2 20BON 1",207.6843,2.3194897769052,70,"1TT06",20,"20BON","2006-04-20 06:56","GOOD",58.26333,-168.89549,61,153,4,"20",8.64774,2006,"Pseudocalanus spp."
"100","1TT06 21 2 20BON 1",138.8111,2.14554165264987,72,"1TT06",20,"20BON","2006-04-20 09:12","GOOD",58.16467,-169.13634,65,153,4,"21",7.27608,2006,"Pseudocalanus spp."
"101","1TT06 25 2 20BON 1",253.9161,2.40639726552164,74,"1TT06",21,"20BON","2006-04-21 16:17","GOOD",57.86967,-169.93716,61,153,4,"25",14.32494,2006,"Pseudocalanus spp."
"102","1TT06 26 2 20BON 2",136.6617,2.13881312840281,72,"1TT06",21,"20BON","2006-04-21 21:42","GOOD",57.935,-168.47333,62,153,4,"26",9.3857,2006,"Pseudocalanus spp."
"103","1TT06 27 2 20BON 2",186.3756,2.27271303652356,71,"1TT06",21,"20BON","2006-04-21 23:38","GOOD",58.102,-168.47084,61,153,4,"27",13.9074,2006,"Pseudocalanus spp."
"104","1TT06 28 2 20BON 2",149.5076,2.17755843052605,68,"1TT06",22,"20BON","2006-04-22 02:06","GOOD",58.2735,-168.51199,59,153,4,"28",10.99074,2006,"Pseudocalanus spp."
"105","1TT06 29 2 20BON 2",288.2119,2.46121615860178,70,"1TT06",22,"20BON","2006-04-22 16:24","GOOD",58.59333,-170.0195,60,153,4,"29",11.65809,2006,"Pseudocalanus spp."
"106","1TT06 31 2 20BON 1",521.0104,2.71767915552644,76,"1TT06",23,"20BON","2006-04-23 03:34","GOOD",58.39417,-170.39467,68,153,4,"31",12.40666,2006,"Pseudocalanus spp."
"107","1TT06 33 2 20BON 1",198.1437,2.29916657186253,77,"1TT06",23,"20BON","2006-04-23 08:37","GOOD",58.21883,-170.036,68,153,4,"33",13.00066,2006,"Pseudocalanus spp."
"108","1TT06 34 2 20BON 1",177.2817,2.25110676663637,78,"1TT06",23,"20BON","2006-04-23 10:20","GOOD",58.139,-170.40567,69,153,4,"34",12.52996,2006,"Pseudocalanus spp."
"109","1TT06 35 2 20BON 1",275.3599,2.44147502686373,77,"1TT06",23,"20BON","2006-04-23 12:02","GOOD",58.053,-170.33434,67,153,4,"35",13.88728,2006,"Pseudocalanus spp."
"110","1TT06 38 1 20BON 1",256.5483,2.41085868757689,76,"1TT06",23,"20BON","2006-04-23 17:44","GOOD",58.20083,-170.31351,66,153,4,"38",13.27365,2006,"Pseudocalanus spp."
"111","1TT06 39 2 20BON 1",266.2234,2.42687448541246,86,"1TT06",24,"20BON","2006-04-24 00:49","GOOD",58.4435,-171.06101,76,153,4,"39",13.01163,2006,"Pseudocalanus spp."
"112","1TT06 40 2 20BON 1",244.5573,2.39015284949427,92,"1TT06",24,"20BON","2006-04-24 05:14","GOOD",58.4045,-171.30917,83,153,4,"40",14.19708,2006,"Pseudocalanus spp."
"113","1TT06 42 2 20BON 1",325.8012,2.51428364257403,96,"1TT06",24,"20BON","2006-04-24 08:30","GOOD",58.2975,-171.47316,87,153,4,"42",13.84893,2006,"Pseudocalanus spp."
"114","1TT06 43 2 20BON 1",241.7173,2.38510073235489,98,"1TT06",24,"20BON","2006-04-24 10:22","GOOD",58.22833,-171.564,90,153,4,"43",18.9974,2006,"Pseudocalanus spp."
"115","1TT06 44 2 20BON 1",174.2889,2.24375441568662,100,"1TT06",24,"20BON","2006-04-24 12:14","GOOD",58.16333,-171.67084,92,153,4,"44",17.2587,2006,"Pseudocalanus spp."
"116","1TT06 45 2 20BON 1",149.0203,2.17615002959885,102,"1TT06",24,"20BON","2006-04-24 14:07","GOOD",58.09933,-171.76666,93,153,4,"45",15.7473,2006,"Pseudocalanus spp."
"117","1TT06 47 2 20BON 1",347.0998,2.54170377376139,85,"1TT06",24,"20BON","2006-04-24 18:55","GOOD",58.39267,-171.0125,75,153,4,"47",15.91857,2006,"Pseudocalanus spp."
"118","1TT06 52 2 20BON 1",283.8338,2.45459152387808,94,"1TT06",27,"20BON","2006-04-27 16:20","GOOD",58.688,-171.70383,84,153,4,"52",18.00115,2006,"Pseudocalanus spp."
"119","1TT06 54 2 20BON 1",275.3068,2.44139157317615,90,"1TT06",28,"20BON","2006-04-28 00:55","GOOD",58.57917,-171.34166,80,153,4,"54",15.34288,2006,"Pseudocalanus spp."
"120","1TT06 56 2 20BON 1",205.0175,2.31390411275085,100,"1TT06",28,"20BON","2006-04-28 07:48","GOOD",58.46733,-171.76016,92,153,4,"56",20.83725,2006,"Pseudocalanus spp."
"121","1TT06 57 2 20BON 1",156.1149,2.19621737333362,102,"1TT06",28,"20BON","2006-04-28 09:41","GOOD",58.3645,-171.96617,92,153,4,"57",20.03651,2006,"Pseudocalanus spp."
"122","1TT06 58 2 20BON 1",231.9608,2.36728284902627,105,"1TT06",28,"20BON","2006-04-28 11:35","GOOD",58.2655,-172.16884,96,153,4,"58",15.51987,2006,"Pseudocalanus spp."
"123","1TT06 7 2 20BON 1",79.1663,1.90399183960756,55,"1TT06",17,"20BON","2006-04-17 02:21","GOOD",57.51534,-164.25301,43,153,4,"7",12.73268,2006,"Pseudocalanus spp."
"124","1TT06 8 2 20BON 1",111.3893,2.05072496628504,66,"1TT06",17,"20BON","2006-04-17 05:36","GOOD",57.349,-164.24899,54,153,4,"8",12.10169,2006,"Pseudocalanus spp."
"125","1TT06 91 5 20BON 1",239.7181,2.38150874683749,72,"1TT06",7,"20BON","2006-05-07 23:17","GOOD",58.0575,-168.73016,63,153,5,"91",8.61011,2006,"Pseudocalanus spp."
"126","1TT06 92 2 20BON 1",230.8782,2.36525992041574,73,"1TT06",8,"20BON","2006-05-08 01:17","GOOD",57.9105,-168.88667,64,153,5,"92",10.39509,2006,"Pseudocalanus spp."
"127","1TT06 93 2 20BON 1",249.3022,2.39846466680224,67,"1TT06",8,"20BON","2006-05-08 03:11","GOOD",57.7685,-169.0455,57,153,5,"93",9.43433,2006,"Pseudocalanus spp."
"128","1TT06 94 2 20BON 1",240.3888,2.38271711575703,71,"1TT06",8,"20BON","2006-05-08 06:18","GOOD",57.57917,-169.22333,61,153,5,"94",11.38157,2006,"Pseudocalanus spp."
"129","1TT06 95 2 20BON 1",296.0978,2.47289943587839,73,"1TT06",8,"20BON","2006-05-08 07:37","GOOD",57.47633,-169.3495,64,153,5,"95",9.88863,2006,"Pseudocalanus spp."
"130","2AK11 9 2 20BON 1",348.5545,2.54351489740363,93,"2AK11",25,"20BON","2011-06-25 00:14","GOOD",55.70833,-164.60167,93,153,6,"9",21.02397,2011,"Pseudocalanus spp."
"131","2AR07 2 1 20BON 2",410.1289,2.61397800626072,70,"2AR07",26,"20BON","2007-06-26 04:01","GOOD",56.97183,-165.87367,65,153,6,"2",4.08327,2007,"Pseudocalanus spp."
"132","2AR07 5 2 20BON 1",1329.7441,3.12409454935682,65,"2AR07",29,"20BON","2007-06-29 02:25","GOOD",57.64883,-167.12917,60,153,6,"5",9.86656,2007,"Pseudocalanus spp."
"133","2AR08 2 1 20BON 1",275.5248,2.44173408688905,70,"2AR08",21,"20BON","2008-06-21 02:42","GOOD",57.03167,-167.10916,58,153,6,"2",10.25921,2008,"Pseudocalanus spp."
